sample_id	treatment-group	pregnancy-status	pregnancy-day	Fenbendazole
NC1	Normal Chow	No	NP	No
NC5	Normal Chow	No	NP	No
NC8	Normal Chow	No	NP	No
NC9	Normal Chow	No	NP	No
NC10	Normal Chow	No	NP	No
NC24	Normal Chow	No	NP	No
NC14	Normal Chow	Yes	e7.5	No
NC16	Normal Chow	Yes	e7.5	No
NC18	Normal Chow	Yes	e7.5	No
NC19	Normal Chow	Yes	e7.5	No
NC21	Normal Chow	Yes	e7.5	No
NC26	Normal Chow	Yes	e7.5	No
NC27	Normal Chow	Yes	e7.5	No
NC2_A	Normal Chow	Yes	e12.5	No
NC2_B	Normal Chow	Yes	e12.5	No
NC3_A	Normal Chow	Yes	e12.5	No
NC3_B	Normal Chow	Yes	e12.5	No
NC6_A	Normal Chow	Yes	e12.5	No
NC6_B	Normal Chow	Yes	e12.5	No
NC4_A	Normal Chow	Yes	e18.5	No
NC4_B	Normal Chow	Yes	e18.5	No
NC7_A	Normal Chow	Yes	e18.5	No
NC7_B	Normal Chow	Yes	e18.5	No
NC11_A	Normal Chow	Yes	e18.5	No
NC11_B	Normal Chow	Yes	e18.5	No
FBZ10	Fenbendazole	Yes	e12.5	Yes
FBZ21	Fenbendazole	Yes	e7.5	Yes
FBZ37	Fenbendazole	No	NP	Yes
FBZ47	Fenbendazole	No	NP	Yes
FBZ56	Fenbendazole	Yes	e18.5	Yes
FBZ41_A	Fenbendazole	Yes	e7.5	Yes
FBZ41_B	Fenbendazole	Yes	e7.5	Yes
FBZ53_A	Fenbendazole	Yes	e7.5	Yes
FBZ53_B	Fenbendazole	Yes	e7.5	Yes
FBZ54_A	Fenbendazole	Yes	e7.5	Yes
FBZ54_B	Fenbendazole	Yes	e7.5	Yes
FBZ55_A	Fenbendazole	Yes	e7.5	Yes
FBZ55_B	Fenbendazole	Yes	e7.5	Yes
FBZ48_A	Fenbendazole	Yes	e7.5	Yes
FBZ48_B	Fenbendazole	Yes	e7.5	Yes
FBZ65_A	Fenbendazole	Yes	e7.5	Yes
FBZ65_B	Fenbendazole	Yes	e7.5	Yes
FBZ69_A	Fenbendazole	Yes	e7.5	Yes
FBZ69_B	Fenbendazole	Yes	e7.5	Yes
FBZ2	Fenbendazole	Yes	e7.5	Yes
FBZ9	Fenbendazole	Yes	e7.5	Yes
FBZ18	Fenbendazole	Yes	e7.5	Yes
FBZ20	Fenbendazole	Yes	e7.5	Yes
FBZ23	Fenbendazole	Yes	e7.5	Yes
FBZ28	Fenbendazole	Yes	e7.5	Yes
FBZ42_A	Fenbendazole	Yes	e12.5	Yes
FBZ42_B	Fenbendazole	Yes	e12.5	Yes
FBZ43_A	Fenbendazole	Yes	e12.5	Yes
FBZ43_B	Fenbendazole	Yes	e12.5	Yes
FBZ49_A	Fenbendazole	Yes	e12.5	Yes
FBZ49_B	Fenbendazole	Yes	e12.5	Yes
FBZ64_A	Fenbendazole	Yes	e12.5	Yes
FBZ64_B	Fenbendazole	Yes	e12.5	Yes
FBZ75_A	Fenbendazole	Yes	e7.5	Yes
FBZ75_B	Fenbendazole	Yes	e7.5	Yes
FBZ68_A	Fenbendazole	Yes	e18.5	Yes
FBZ68_B	Fenbendazole	Yes	e18.5	Yes
FBZ3	Fenbendazole	Yes	e12.5	Yes
FBZ5	Fenbendazole	Yes	e12.5	Yes
FBZ6	Fenbendazole	Yes	e12.5	Yes
FBZ11	Fenbendazole	Yes	e12.5	Yes
FBZ12	Fenbendazole	Yes	e12.5	Yes
FBZ15	Fenbendazole	Yes	e12.5	Yes
FBZ19	Fenbendazole	Yes	e12.5	Yes
FBZ57_A	Fenbendazole	Yes	e18.5	Yes
FBZ57_B	Fenbendazole	Yes	e18.5	Yes
FBZ72_A	Fenbendazole	Yes	e18.5	Yes
FBZ72_B	Fenbendazole	Yes	e18.5	Yes
FBZ63_A	Fenbendazole	Yes	e18.5	Yes
FBZ63_B	Fenbendazole	Yes	e18.5	Yes
FBZ71_A	Fenbendazole	Yes	e18.5	Yes
FBZ71_B	Fenbendazole	Yes	e18.5	Yes
FBZ78_A	Fenbendazole	Yes	e18.5	Yes
FBZ78_B	Fenbendazole	Yes	e18.5	Yes
FBZ1	Fenbendazole	Yes	e18.5	Yes
FBZ4	Fenbendazole	Yes	e18.5	Yes
FBZ8	Fenbendazole	Yes	e18.5	Yes
FBZ13	Fenbendazole	Yes	e18.5	Yes
FBZ14	Fenbendazole	Yes	e18.5	Yes
FBZ16	Fenbendazole	Yes	e18.5	Yes
FBZ24	Fenbendazole	Yes	e18.5	Yes
FBZ25	Fenbendazole	Yes	e18.5	Yes
FBZ26	Fenbendazole	Yes	e18.5	Yes
FBZ27	Fenbendazole	Yes	e18.5	Yes
FBZ35	Fenbendazole	Yes	e18.5	Yes
FBZ36	Fenbendazole	Yes	e18.5	Yes
FBZ39	Fenbendazole	Yes	e18.5	Yes
FBZ40	Fenbendazole	Yes	e18.5	Yes
KIT1	Fenbendazole	No	NP	No
NTC_libprep2	Fenbendazole	No	NP	No
